Carbon	Growth	Production
Maltotriose exchange	0.42067255212764415	1.296000001044547
Raffinose exchange	0.4190960010598567	1.2911428568955474
Alpha L Arabinan exchange	0.34026625976660746	1.0482857142857107
Cellobiose exchange	0.2693194933481399	0.8297142857502474
Maltose exchange	0.26931949279410605	0.8297142857142796
Trehalose exchange	0.2693194926111095	0.8297142856814315
Sucrose exchange	0.26931949260406507	0.829714288831907
Dextrin exchange	0.2677428977782986	0.824857142857149
Palatinose exchange	0.26774289777811433	0.8248571428164344
Starch exchange	0.2677428977780591	0.8248571430021846
Melibiose exchange	0.26774289777793364	0.8248571428571413
Lactose exchange	0.26301311581123016	0.8102857204722734
N-Acetylneuraminate exchange	0.24040409317747263	0.7520000038000811
Oxidized glutathione exchange	0.18207040852043047	0.5536231884057785
N-Acetyl-D-mannosamine exchange	0.17345849156719795	0.5480000000000022
N-Acetyl-D-glucosamine exchange	0.16072881399245637	0.4945714285714213
AMP exchange	0.15400536409452503	0.4702857142863571
3'-AMP exchange	0.15390668048186623	0.47028571429544236
Deoxyadenosine exchange	0.15338829959251438	0.4250000000000024
Adenosine exchange	0.15231714533103616	0.46542857144035765
